publication_number,filing_date,cpc_code
KR-20170135161-A,20160530,G06Q30/06
KR-20170135161-A,20160530,G06Q30/06
SG-10201604803P-A,20160613,G06Q30/06
KR-20170111859-A,20160330,G06Q30/06
RU-2017135243-A,20160422,G06Q30/06
US-2017005972-A1,20160914,G06Q30/06
US-2016161138-A1,20160216,G06Q30/06
WO-2017033155-A1,20160826,G06Q30/06
WO-2017049097-A1,20160916,G06Q30/06
WO-2016147797-A1,20160219,G06Q30/06
US-2016285954-A1,20160216,G06Q30/06
US-2016180416-A1,20160226,G06Q30/06
US-2016180416-A1,20160226,G06Q30/06
US-2016307268-A1,20160624,G06Q30/06
US-2016307268-A1,20160624,G06Q30/06
US-2018189861-A1,20160629,G06Q30/06
US-2016350733-A1,20160808,G06Q30/06
US-2016350733-A1,20160808,G06Q30/06
PH-22016000121-U1,20160302,G06Q30/06
KR-20160036547-A,20160321,G06Q30/06
KR-20170114329-A,20160404,G06Q30/06
KR-20170129014-A,20160516,G06Q30/06
